time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
9.700000000000000000e+01,1.265099999999999980e+01,9.700000000000000000e+01,2.006899999999999906e+01,9.700000000000000000e+01,2.789000000000000057e+01
9.800000000000000000e+01,1.285100000000000087e+01,9.800000000000000000e+01,2.036899999999999977e+01,9.800000000000000000e+01,2.808999999999999986e+01
9.900000000000000000e+01,1.285100000000000087e+01,9.900000000000000000e+01,2.046900000000000119e+01,9.900000000000000000e+01,2.819000000000000128e+01
1.000000000000000000e+02,1.295100000000000051e+01,1.000000000000000000e+02,2.056899999999999906e+01,1.000000000000000000e+02,2.828999999999999915e+01
1.010000000000000000e+02,1.305100000000000016e+01,1.010000000000000000e+02,2.056899999999999906e+01,1.010000000000000000e+02,2.828999999999999915e+01
1.020000000000000000e+02,1.315099999999999980e+01,1.020000000000000000e+02,2.066900000000000048e+01,1.020000000000000000e+02,2.848999999999999844e+01
1.030000000000000000e+02,1.325099999999999945e+01,1.030000000000000000e+02,2.086899999999999977e+01,1.030000000000000000e+02,2.869000000000000128e+01
1.040000000000000000e+02,1.335100000000000087e+01,1.040000000000000000e+02,2.086899999999999977e+01,1.040000000000000000e+02,2.869000000000000128e+01
1.050000000000000000e+02,1.355100000000000016e+01,1.050000000000000000e+02,2.106899999999999906e+01,1.050000000000000000e+02,2.878999999999999915e+01
1.060000000000000000e+02,1.345100000000000051e+01,1.060000000000000000e+02,2.116900000000000048e+01,1.060000000000000000e+02,2.889000000000000057e+01
1.070000000000000000e+02,1.365099999999999980e+01,1.070000000000000000e+02,2.126899999999999835e+01,1.070000000000000000e+02,2.898999999999999844e+01
1.080000000000000000e+02,1.365099999999999980e+01,1.080000000000000000e+02,2.126899999999999835e+01,1.080000000000000000e+02,2.889000000000000057e+01
1.090000000000000000e+02,1.385100000000000087e+01,1.090000000000000000e+02,2.136899999999999977e+01,1.090000000000000000e+02,2.908999999999999986e+01
1.100000000000000000e+02,1.375099999999999945e+01,1.100000000000000000e+02,2.136899999999999977e+01,1.100000000000000000e+02,2.908999999999999986e+01
1.110000000000000000e+02,1.405100000000000016e+01,1.110000000000000000e+02,2.166900000000000048e+01,1.110000000000000000e+02,2.928999999999999915e+01
1.120000000000000000e+02,1.395100000000000051e+01,1.120000000000000000e+02,2.166900000000000048e+01,1.120000000000000000e+02,2.928999999999999915e+01
1.130000000000000000e+02,1.405100000000000016e+01,1.130000000000000000e+02,2.176899999999999835e+01,1.130000000000000000e+02,2.939000000000000057e+01
1.140000000000000000e+02,1.415099999999999980e+01,1.140000000000000000e+02,2.176899999999999835e+01,1.140000000000000000e+02,2.948999999999999844e+01
1.150000000000000000e+02,1.435100000000000087e+01,1.150000000000000000e+02,2.206899999999999906e+01,1.150000000000000000e+02,2.989000000000000057e+01
1.160000000000000000e+02,1.445100000000000051e+01,1.160000000000000000e+02,2.216900000000000048e+01,1.160000000000000000e+02,2.989000000000000057e+01
1.170000000000000000e+02,1.445100000000000051e+01,1.170000000000000000e+02,2.216900000000000048e+01,1.170000000000000000e+02,2.998999999999999844e+01
1.180000000000000000e+02,1.445100000000000051e+01,1.180000000000000000e+02,2.226899999999999835e+01,1.180000000000000000e+02,2.998999999999999844e+01
1.190000000000000000e+02,1.455100000000000016e+01,1.190000000000000000e+02,2.226899999999999835e+01,1.190000000000000000e+02,2.998999999999999844e+01
1.200000000000000000e+02,1.465099999999999980e+01,1.200000000000000000e+02,2.246900000000000119e+01,1.200000000000000000e+02,3.008999999999999986e+01
1.210000000000000000e+02,1.465099999999999980e+01,1.210000000000000000e+02,2.236899999999999977e+01,1.210000000000000000e+02,3.008999999999999986e+01
1.220000000000000000e+02,1.475099999999999945e+01,1.220000000000000000e+02,2.246900000000000119e+01,1.220000000000000000e+02,3.019000000000000128e+01
1.230000000000000000e+02,1.495100000000000051e+01,1.230000000000000000e+02,2.256899999999999906e+01,1.230000000000000000e+02,3.028999999999999915e+01
1.240000000000000000e+02,1.495100000000000051e+01,1.240000000000000000e+02,2.266900000000000048e+01,1.240000000000000000e+02,3.039000000000000057e+01
1.250000000000000000e+02,1.495100000000000051e+01,1.250000000000000000e+02,2.266900000000000048e+01,1.250000000000000000e+02,3.039000000000000057e+01
1.260000000000000000e+02,1.515099999999999980e+01,1.260000000000000000e+02,2.286899999999999977e+01,1.260000000000000000e+02,3.048999999999999844e+01
1.270000000000000000e+02,1.525099999999999945e+01,1.270000000000000000e+02,2.306899999999999906e+01,1.270000000000000000e+02,3.069000000000000128e+01
1.280000000000000000e+02,1.535100000000000087e+01,1.280000000000000000e+02,2.296900000000000119e+01,1.280000000000000000e+02,3.069000000000000128e+01
1.290000000000000000e+02,1.535100000000000087e+01,1.290000000000000000e+02,2.296900000000000119e+01,1.290000000000000000e+02,3.078999999999999915e+01
1.300000000000000000e+02,1.545100000000000051e+01,1.300000000000000000e+02,2.306899999999999906e+01,1.300000000000000000e+02,3.078999999999999915e+01
1.310000000000000000e+02,1.535100000000000087e+01,1.310000000000000000e+02,2.306899999999999906e+01,1.310000000000000000e+02,3.078999999999999915e+01
1.320000000000000000e+02,1.555100000000000016e+01,1.320000000000000000e+02,2.326899999999999835e+01,1.320000000000000000e+02,3.098999999999999844e+01
1.330000000000000000e+02,1.565099999999999980e+01,1.330000000000000000e+02,2.316900000000000048e+01,1.330000000000000000e+02,3.098999999999999844e+01
1.340000000000000000e+02,1.555100000000000016e+01,1.340000000000000000e+02,2.316900000000000048e+01,1.340000000000000000e+02,3.098999999999999844e+01
1.350000000000000000e+02,1.565099999999999980e+01,1.350000000000000000e+02,2.326899999999999835e+01,1.350000000000000000e+02,3.098999999999999844e+01
1.360000000000000000e+02,1.565099999999999980e+01,1.360000000000000000e+02,2.336899999999999977e+01,1.360000000000000000e+02,3.108999999999999986e+01
1.370000000000000000e+02,1.575099999999999945e+01,1.370000000000000000e+02,2.356899999999999906e+01,1.370000000000000000e+02,3.119000000000000128e+01
1.380000000000000000e+02,1.585100000000000087e+01,1.380000000000000000e+02,2.356899999999999906e+01,1.380000000000000000e+02,3.119000000000000128e+01
