time (s), 9.375000,time (s), 18.750000,time (s), 37.500000,time (s), 75.000000,time (s), 150.000000,time (s), 300.000000
5.000000000000000000e+01,3.088906451085487337e+00,5.000000000000000000e+01,7.860906451085488023e+00,5.000000000000000000e+01,1.071390645108548689e+01,5.000000000000000000e+01,2.346990645108548890e+01,5.000000000000000000e+01,3.815890645108548540e+01,5.000000000000000000e+01,5.823890645108548370e+01
5.100000000000000000e+01,3.188906451085487426e+00,5.100000000000000000e+01,7.860906451085488023e+00,5.100000000000000000e+01,1.091390645108548618e+01,5.100000000000000000e+01,2.366990645108548819e+01,5.100000000000000000e+01,3.845890645108548256e+01,5.100000000000000000e+01,5.873890645108548370e+01
5.200000000000000000e+01,3.188906451085487426e+00,5.200000000000000000e+01,8.160906451085486069e+00,5.200000000000000000e+01,1.101390645108548583e+01,5.200000000000000000e+01,2.406990645108548676e+01,5.200000000000000000e+01,3.885890645108548824e+01,5.200000000000000000e+01,5.903890645108548796e+01
5.300000000000000000e+01,3.388906451085487603e+00,5.300000000000000000e+01,8.160906451085486069e+00,5.300000000000000000e+01,1.111390645108548725e+01,5.300000000000000000e+01,2.416990645108548819e+01,5.300000000000000000e+01,3.915890645108548540e+01,5.300000000000000000e+01,5.943890645108548654e+01
5.400000000000000000e+01,3.388906451085487603e+00,5.400000000000000000e+01,8.360906451085487134e+00,5.400000000000000000e+01,1.141390645108548618e+01,5.400000000000000000e+01,2.456990645108548676e+01,5.400000000000000000e+01,3.965890645108548540e+01,5.400000000000000000e+01,5.973890645108548370e+01
5.500000000000000000e+01,3.488906451085487692e+00,5.500000000000000000e+01,8.360906451085487134e+00,5.500000000000000000e+01,1.151390645108548583e+01,5.500000000000000000e+01,2.486990645108548748e+01,5.500000000000000000e+01,3.995890645108548256e+01,5.500000000000000000e+01,6.013890645108548227e+01
5.600000000000000000e+01,3.688906451085487426e+00,5.600000000000000000e+01,8.660906451085486069e+00,5.600000000000000000e+01,1.171390645108548689e+01,5.600000000000000000e+01,2.516990645108548819e+01,5.600000000000000000e+01,4.025890645108548682e+01,5.600000000000000000e+01,6.053890645108548796e+01
5.700000000000000000e+01,3.788906451085487959e+00,5.700000000000000000e+01,8.760906451085487490e+00,5.700000000000000000e+01,1.191390645108548618e+01,5.700000000000000000e+01,2.546990645108548890e+01,5.700000000000000000e+01,4.055890645108548398e+01,5.700000000000000000e+01,6.083890645108548512e+01
5.800000000000000000e+01,3.688906451085487426e+00,5.800000000000000000e+01,8.760906451085487490e+00,5.800000000000000000e+01,1.221390645108548689e+01,5.800000000000000000e+01,2.566990645108548819e+01,5.800000000000000000e+01,4.075890645108548682e+01,5.800000000000000000e+01,6.093890645108548654e+01
5.900000000000000000e+01,3.788906451085487959e+00,5.900000000000000000e+01,8.860906451085487134e+00,5.900000000000000000e+01,1.221390645108548689e+01,5.900000000000000000e+01,2.586990645108548748e+01,5.900000000000000000e+01,4.125890645108548682e+01,5.900000000000000000e+01,6.133890645108548512e+01
6.000000000000000000e+01,3.788906451085487959e+00,6.000000000000000000e+01,8.960906451085486779e+00,6.000000000000000000e+01,1.241390645108548618e+01,6.000000000000000000e+01,2.626990645108548961e+01,6.000000000000000000e+01,4.155890645108548398e+01,6.000000000000000000e+01,6.163890645108548227e+01
6.100000000000000000e+01,3.888906451085487603e+00,6.100000000000000000e+01,9.060906451085486424e+00,6.100000000000000000e+01,1.261390645108548725e+01,6.100000000000000000e+01,2.656990645108548676e+01,6.100000000000000000e+01,4.195890645108548256e+01,6.100000000000000000e+01,6.213890645108548227e+01
6.200000000000000000e+01,3.788906451085487959e+00,6.200000000000000000e+01,9.160906451085486069e+00,6.200000000000000000e+01,1.281390645108548654e+01,6.200000000000000000e+01,2.676990645108548961e+01,6.200000000000000000e+01,4.215890645108548540e+01,6.200000000000000000e+01,6.223890645108548370e+01
6.300000000000000000e+01,3.988906451085487248e+00,6.300000000000000000e+01,9.260906451085487490e+00,6.300000000000000000e+01,1.301390645108548583e+01,6.300000000000000000e+01,2.696990645108548890e+01,6.300000000000000000e+01,4.255890645108548398e+01,6.300000000000000000e+01,6.253890645108548796e+01
6.400000000000000000e+01,4.088906451085487781e+00,6.400000000000000000e+01,9.460906451085486779e+00,6.400000000000000000e+01,1.311390645108548725e+01,6.400000000000000000e+01,2.736990645108548748e+01,6.400000000000000000e+01,4.295890645108548256e+01,6.400000000000000000e+01,6.283890645108548512e+01
6.500000000000000000e+01,3.988906451085487248e+00,6.500000000000000000e+01,9.560906451085486424e+00,6.500000000000000000e+01,1.331390645108548654e+01,6.500000000000000000e+01,2.756990645108548676e+01,6.500000000000000000e+01,4.305890645108548398e+01,6.500000000000000000e+01,6.293890645108548654e+01
6.600000000000000000e+01,4.188906451085487426e+00,6.600000000000000000e+01,9.660906451085486069e+00,6.600000000000000000e+01,1.351390645108548583e+01,6.600000000000000000e+01,2.776990645108548961e+01,6.600000000000000000e+01,4.345890645108548256e+01,6.600000000000000000e+01,6.343890645108548654e+01
6.700000000000000000e+01,4.088906451085487781e+00,6.700000000000000000e+01,9.860906451085487134e+00,6.700000000000000000e+01,1.381390645108548654e+01,6.700000000000000000e+01,2.806990645108548676e+01,6.700000000000000000e+01,4.355890645108548398e+01,6.700000000000000000e+01,6.333890645108548512e+01
6.800000000000000000e+01,4.188906451085487426e+00,6.800000000000000000e+01,9.860906451085487134e+00,6.800000000000000000e+01,1.381390645108548654e+01,6.800000000000000000e+01,2.836990645108548748e+01,6.800000000000000000e+01,4.385890645108548824e+01,6.800000000000000000e+01,6.363890645108548227e+01
6.900000000000000000e+01,4.388906451085487603e+00,6.900000000000000000e+01,1.006090645108548642e+01,6.900000000000000000e+01,1.401390645108548583e+01,6.900000000000000000e+01,2.866990645108548819e+01,6.900000000000000000e+01,4.415890645108548540e+01,6.900000000000000000e+01,6.373890645108549080e+01
7.000000000000000000e+01,4.288906451085487959e+00,7.000000000000000000e+01,1.006090645108548642e+01,7.000000000000000000e+01,1.421390645108548689e+01,7.000000000000000000e+01,2.896990645108548890e+01,7.000000000000000000e+01,4.445890645108548256e+01,7.000000000000000000e+01,6.393890645108547943e+01
7.100000000000000000e+01,4.588906451085487781e+00,7.100000000000000000e+01,1.036090645108548713e+01,7.100000000000000000e+01,1.431390645108548654e+01,7.100000000000000000e+01,2.916990645108548819e+01,7.100000000000000000e+01,4.485890645108548824e+01,7.100000000000000000e+01,6.433890645108549222e+01
7.200000000000000000e+01,4.388906451085487603e+00,7.200000000000000000e+01,1.036090645108548713e+01,7.200000000000000000e+01,1.441390645108548618e+01,7.200000000000000000e+01,2.926990645108548961e+01,7.200000000000000000e+01,4.505890645108548398e+01,7.200000000000000000e+01,6.443890645108548654e+01
7.300000000000000000e+01,4.488906451085487248e+00,7.300000000000000000e+01,1.036090645108548713e+01,7.300000000000000000e+01,1.471390645108548689e+01,7.300000000000000000e+01,2.966990645108548819e+01,7.300000000000000000e+01,4.555890645108548398e+01,7.300000000000000000e+01,6.503890645108549506e+01
7.400000000000000000e+01,4.688906451085487426e+00,7.400000000000000000e+01,1.066090645108548607e+01,7.400000000000000000e+01,1.471390645108548689e+01,7.400000000000000000e+01,2.986990645108548748e+01,7.400000000000000000e+01,4.585890645108548824e+01,7.400000000000000000e+01,6.523890645108549791e+01
7.500000000000000000e+01,4.688906451085487426e+00,7.500000000000000000e+01,1.066090645108548607e+01,7.500000000000000000e+01,1.491390645108548618e+01,7.500000000000000000e+01,3.006990645108548676e+01,7.500000000000000000e+01,4.625890645108548682e+01,7.500000000000000000e+01,6.553890645108549506e+01
7.600000000000000000e+01,4.788906451085487959e+00,7.600000000000000000e+01,1.076090645108548749e+01,7.600000000000000000e+01,1.511390645108548725e+01,7.600000000000000000e+01,3.026990645108548961e+01,7.600000000000000000e+01,4.645890645108548256e+01,7.600000000000000000e+01,6.573890645108549791e+01
7.700000000000000000e+01,4.888906451085487603e+00,7.700000000000000000e+01,1.096090645108548678e+01,7.700000000000000000e+01,1.511390645108548725e+01,7.700000000000000000e+01,3.026990645108548961e+01,7.700000000000000000e+01,4.665890645108548540e+01,7.700000000000000000e+01,6.593890645108548654e+01
7.800000000000000000e+01,4.988906451085487248e+00,7.800000000000000000e+01,1.106090645108548642e+01,7.800000000000000000e+01,1.531390645108548654e+01,7.800000000000000000e+01,3.066990645108548819e+01,7.800000000000000000e+01,4.685890645108548824e+01,7.800000000000000000e+01,6.613890645108548938e+01
7.900000000000000000e+01,5.088906451085487781e+00,7.900000000000000000e+01,1.116090645108548607e+01,7.900000000000000000e+01,1.541390645108548618e+01,7.900000000000000000e+01,3.076990645108548961e+01,7.900000000000000000e+01,4.695890645108548256e+01,7.900000000000000000e+01,6.613890645108548938e+01
8.000000000000000000e+01,5.188906451085487426e+00,8.000000000000000000e+01,1.116090645108548607e+01,8.000000000000000000e+01,1.561390645108548725e+01,8.000000000000000000e+01,3.106990645108548676e+01,8.000000000000000000e+01,4.715890645108548540e+01,8.000000000000000000e+01,6.643890645108548654e+01
8.100000000000000000e+01,5.388906451085487603e+00,8.100000000000000000e+01,1.146090645108548678e+01,8.100000000000000000e+01,1.591390645108548618e+01,8.100000000000000000e+01,3.126990645108548961e+01,8.100000000000000000e+01,4.745890645108548256e+01,8.100000000000000000e+01,6.663890645108548938e+01
8.200000000000000000e+01,5.288906451085487959e+00,8.200000000000000000e+01,1.156090645108548642e+01,8.200000000000000000e+01,1.591390645108548618e+01,8.200000000000000000e+01,3.136990645108548748e+01,8.200000000000000000e+01,4.765890645108548540e+01,8.200000000000000000e+01,6.663890645108548938e+01
8.300000000000000000e+01,5.388906451085487603e+00,8.300000000000000000e+01,1.156090645108548642e+01,8.300000000000000000e+01,1.621390645108548867e+01,8.300000000000000000e+01,3.166990645108548819e+01,8.300000000000000000e+01,4.785890645108548824e+01,8.300000000000000000e+01,6.693890645108548654e+01
8.400000000000000000e+01,5.388906451085487603e+00,8.400000000000000000e+01,1.166090645108548607e+01,8.400000000000000000e+01,1.641390645108548796e+01,8.400000000000000000e+01,3.196990645108548890e+01,8.400000000000000000e+01,4.825890645108548682e+01,8.400000000000000000e+01,6.723890645108549791e+01
8.500000000000000000e+01,5.388906451085487603e+00,8.500000000000000000e+01,1.176090645108548749e+01,8.500000000000000000e+01,1.651390645108548938e+01,8.500000000000000000e+01,3.206990645108548676e+01,8.500000000000000000e+01,4.845890645108548256e+01,8.500000000000000000e+01,6.723890645108549791e+01
8.600000000000000000e+01,5.588906451085487781e+00,8.600000000000000000e+01,1.196090645108548678e+01,8.600000000000000000e+01,1.651390645108548938e+01,8.600000000000000000e+01,3.226990645108548250e+01,8.600000000000000000e+01,4.855890645108548398e+01,8.600000000000000000e+01,6.743890645108548654e+01
8.700000000000000000e+01,5.588906451085487781e+00,8.700000000000000000e+01,1.206090645108548642e+01,8.700000000000000000e+01,1.681390645108549009e+01,8.700000000000000000e+01,3.246990645108548534e+01,8.700000000000000000e+01,4.875890645108548682e+01,8.700000000000000000e+01,6.763890645108548938e+01
8.800000000000000000e+01,5.688906451085487426e+00,8.800000000000000000e+01,1.216090645108548607e+01,8.800000000000000000e+01,1.701390645108548938e+01,8.800000000000000000e+01,3.266990645108548819e+01,8.800000000000000000e+01,4.895890645108548256e+01,8.800000000000000000e+01,6.773890645108549791e+01
8.900000000000000000e+01,5.788906451085487959e+00,8.900000000000000000e+01,1.246090645108548678e+01,8.900000000000000000e+01,1.711390645108548725e+01,8.900000000000000000e+01,3.286990645108548392e+01,8.900000000000000000e+01,4.915890645108548540e+01,8.900000000000000000e+01,6.783890645108549222e+01
9.000000000000000000e+01,5.888906451085487603e+00,9.000000000000000000e+01,1.256090645108548642e+01,9.000000000000000000e+01,1.721390645108548867e+01,9.000000000000000000e+01,3.306990645108548676e+01,9.000000000000000000e+01,4.945890645108548256e+01,9.000000000000000000e+01,6.803890645108549506e+01
9.100000000000000000e+01,5.988906451085487248e+00,9.100000000000000000e+01,1.266090645108548607e+01,9.100000000000000000e+01,1.731390645108549009e+01,9.100000000000000000e+01,3.306990645108548676e+01,9.100000000000000000e+01,4.955890645108548398e+01,9.100000000000000000e+01,6.813890645108548938e+01
9.200000000000000000e+01,5.988906451085487248e+00,9.200000000000000000e+01,1.276090645108548749e+01,9.200000000000000000e+01,1.741390645108548796e+01,9.200000000000000000e+01,3.326990645108548250e+01,9.200000000000000000e+01,4.945890645108548256e+01,9.200000000000000000e+01,6.803890645108549506e+01
9.300000000000000000e+01,5.888906451085487603e+00,9.300000000000000000e+01,1.286090645108548713e+01,9.300000000000000000e+01,1.751390645108548938e+01,9.300000000000000000e+01,3.356990645108548676e+01,9.300000000000000000e+01,4.965890645108548540e+01,9.300000000000000000e+01,6.823890645108549791e+01
9.400000000000000000e+01,5.888906451085487603e+00,9.400000000000000000e+01,1.286090645108548713e+01,9.400000000000000000e+01,1.771390645108548867e+01,9.400000000000000000e+01,3.376990645108548250e+01,9.400000000000000000e+01,4.995890645108548256e+01,9.400000000000000000e+01,6.853890645108549506e+01
9.500000000000000000e+01,6.188906451085487426e+00,9.500000000000000000e+01,1.316090645108548607e+01,9.500000000000000000e+01,1.801390645108548938e+01,9.500000000000000000e+01,3.396990645108548534e+01,9.500000000000000000e+01,5.005890645108548398e+01,9.500000000000000000e+01,6.853890645108549506e+01
9.600000000000000000e+01,6.188906451085487426e+00,9.600000000000000000e+01,1.316090645108548607e+01,9.600000000000000000e+01,1.821390645108548867e+01,9.600000000000000000e+01,3.416990645108548819e+01,9.600000000000000000e+01,5.025890645108548682e+01,9.600000000000000000e+01,6.873890645108549791e+01
9.700000000000000000e+01,6.288906451085487959e+00,9.700000000000000000e+01,1.336090645108548713e+01,9.700000000000000000e+01,1.831390645108549009e+01,9.700000000000000000e+01,3.416990645108548819e+01,9.700000000000000000e+01,5.045890645108548256e+01,9.700000000000000000e+01,6.893890645108548654e+01
9.800000000000000000e+01,6.288906451085487959e+00,9.800000000000000000e+01,1.336090645108548713e+01,9.800000000000000000e+01,1.841390645108548796e+01,9.800000000000000000e+01,3.446990645108548534e+01,9.800000000000000000e+01,5.045890645108548256e+01,9.800000000000000000e+01,6.903890645108549506e+01
9.900000000000000000e+01,6.488906451085487248e+00,9.900000000000000000e+01,1.346090645108548678e+01,9.900000000000000000e+01,1.851390645108548938e+01,9.900000000000000000e+01,3.456990645108548676e+01,9.900000000000000000e+01,5.075890645108548682e+01,9.900000000000000000e+01,6.923890645108549791e+01
