time (s), 1.250000,time (s), 2.500000,time (s), 5.000000
1.050000000000000000e+02,6.110000000000000320e+00,1.050000000000000000e+02,1.028100000000000058e+01,1.050000000000000000e+02,1.658699999999999974e+01
1.060000000000000000e+02,6.110000000000000320e+00,1.060000000000000000e+02,1.028100000000000058e+01,1.060000000000000000e+02,1.648699999999999832e+01
1.070000000000000000e+02,6.209999999999999964e+00,1.070000000000000000e+02,1.038100000000000023e+01,1.070000000000000000e+02,1.668700000000000117e+01
1.080000000000000000e+02,6.209999999999999964e+00,1.080000000000000000e+02,1.048099999999999987e+01,1.080000000000000000e+02,1.678699999999999903e+01
1.090000000000000000e+02,6.309999999999999609e+00,1.090000000000000000e+02,1.048099999999999987e+01,1.090000000000000000e+02,1.688700000000000045e+01
1.100000000000000000e+02,6.209999999999999964e+00,1.100000000000000000e+02,1.048099999999999987e+01,1.100000000000000000e+02,1.698699999999999832e+01
1.110000000000000000e+02,6.410000000000000142e+00,1.110000000000000000e+02,1.068099999999999916e+01,1.110000000000000000e+02,1.708699999999999974e+01
1.120000000000000000e+02,6.509999999999999787e+00,1.120000000000000000e+02,1.068099999999999916e+01,1.120000000000000000e+02,1.728699999999999903e+01
1.130000000000000000e+02,6.410000000000000142e+00,1.130000000000000000e+02,1.068099999999999916e+01,1.130000000000000000e+02,1.718700000000000117e+01
1.140000000000000000e+02,6.509999999999999787e+00,1.140000000000000000e+02,1.078100000000000058e+01,1.140000000000000000e+02,1.728699999999999903e+01
1.150000000000000000e+02,6.610000000000000320e+00,1.150000000000000000e+02,1.088100000000000023e+01,1.150000000000000000e+02,1.748699999999999832e+01
1.160000000000000000e+02,6.509999999999999787e+00,1.160000000000000000e+02,1.098099999999999987e+01,1.160000000000000000e+02,1.738700000000000045e+01
1.170000000000000000e+02,6.709999999999999964e+00,1.170000000000000000e+02,1.108099999999999952e+01,1.170000000000000000e+02,1.758699999999999974e+01
1.180000000000000000e+02,6.610000000000000320e+00,1.180000000000000000e+02,1.118099999999999916e+01,1.180000000000000000e+02,1.758699999999999974e+01
1.190000000000000000e+02,6.610000000000000320e+00,1.190000000000000000e+02,1.108099999999999952e+01,1.190000000000000000e+02,1.748699999999999832e+01
1.200000000000000000e+02,6.610000000000000320e+00,1.200000000000000000e+02,1.118099999999999916e+01,1.200000000000000000e+02,1.758699999999999974e+01
1.210000000000000000e+02,6.910000000000000142e+00,1.210000000000000000e+02,1.128100000000000058e+01,1.210000000000000000e+02,1.778699999999999903e+01
1.220000000000000000e+02,6.809999999999999609e+00,1.220000000000000000e+02,1.128100000000000058e+01,1.220000000000000000e+02,1.788700000000000045e+01
1.230000000000000000e+02,6.910000000000000142e+00,1.230000000000000000e+02,1.148099999999999987e+01,1.230000000000000000e+02,1.798699999999999832e+01
1.240000000000000000e+02,6.910000000000000142e+00,1.240000000000000000e+02,1.148099999999999987e+01,1.240000000000000000e+02,1.798699999999999832e+01
1.250000000000000000e+02,7.009999999999999787e+00,1.250000000000000000e+02,1.158099999999999952e+01,1.250000000000000000e+02,1.808699999999999974e+01
1.260000000000000000e+02,7.110000000000000320e+00,1.260000000000000000e+02,1.178100000000000058e+01,1.260000000000000000e+02,1.818700000000000117e+01
1.270000000000000000e+02,7.110000000000000320e+00,1.270000000000000000e+02,1.168099999999999916e+01,1.270000000000000000e+02,1.818700000000000117e+01
1.280000000000000000e+02,7.110000000000000320e+00,1.280000000000000000e+02,1.178100000000000058e+01,1.280000000000000000e+02,1.838700000000000045e+01
1.290000000000000000e+02,7.209999999999999964e+00,1.290000000000000000e+02,1.178100000000000058e+01,1.290000000000000000e+02,1.828699999999999903e+01
1.300000000000000000e+02,7.110000000000000320e+00,1.300000000000000000e+02,1.178100000000000058e+01,1.300000000000000000e+02,1.838700000000000045e+01
1.310000000000000000e+02,7.209999999999999964e+00,1.310000000000000000e+02,1.188100000000000023e+01,1.310000000000000000e+02,1.848699999999999832e+01
1.320000000000000000e+02,7.209999999999999964e+00,1.320000000000000000e+02,1.198099999999999987e+01,1.320000000000000000e+02,1.848699999999999832e+01
1.330000000000000000e+02,7.209999999999999964e+00,1.330000000000000000e+02,1.198099999999999987e+01,1.330000000000000000e+02,1.858699999999999974e+01
1.340000000000000000e+02,7.309999999999999609e+00,1.340000000000000000e+02,1.208099999999999952e+01,1.340000000000000000e+02,1.868700000000000117e+01
1.350000000000000000e+02,7.309999999999999609e+00,1.350000000000000000e+02,1.218099999999999916e+01,1.350000000000000000e+02,1.878699999999999903e+01
1.360000000000000000e+02,7.309999999999999609e+00,1.360000000000000000e+02,1.228100000000000058e+01,1.360000000000000000e+02,1.888700000000000045e+01
1.370000000000000000e+02,7.309999999999999609e+00,1.370000000000000000e+02,1.218099999999999916e+01,1.370000000000000000e+02,1.878699999999999903e+01
1.380000000000000000e+02,7.309999999999999609e+00,1.380000000000000000e+02,1.218099999999999916e+01,1.380000000000000000e+02,1.888700000000000045e+01
1.390000000000000000e+02,7.410000000000000142e+00,1.390000000000000000e+02,1.228100000000000058e+01,1.390000000000000000e+02,1.898699999999999832e+01
